event                                     , date  , person                 , quote                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , Annotator 1 Sentiment, Annotator 1 Group, Annotator 2 Sentiment, Annotator 2 Group, Annotator 3 Sentiment, Annotator 3 Group
2024 - ALL-STAR GAME                      , 18-Feb, JAYSON TATUM           , "So this time this weekend is for obviously yourself, but to bring your friends, families, partners, or whatever it may be to this event, to this weekend because there's a lot of activities and things like that, and there's just memories. Memories that build with the people who essentially help you get to this moment."                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, ZACCHARIE RISACHER     , "So I don't know yet, but I know that I can do a lot of things. Defend multiple positions, grabbing some rebounds, finishing strong, being aggressive, shooting threes obviously. I think that's going to be -- that's a part of my game. That's something that I need to keep it up for helping the team to win the next season, because I know that we are going to have to shoot the ball. And that's it."                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, SHAI GILGEOUS-ALEXANDER, "But we have no ceiling on what we think we can do this year. We kind of take the same mentality and just stay in the moment, plug away every day. Where we get at the end of the year, whenever the end of our season is, we'll look back and make adjustments and try to figure out then. As of right now, we just try to stay focused on the task at hand."                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, BREANNA STEWART        , "They were up and their shots weren't falling. We were getting good looks, and it's like, if we are going to be this close, we are not leaving here without this win. It's tough to play in this arena, but the way that we continued to stay together is something that I'm not shocked at but I am really proud of."                                                                                                                                                                                                                                                                                            ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, BREANNA STEWART        , "Just continuing to kind of be in help side and know that we did some different schemes. We sometimes were sending two to the ball and then leaving somebody open and making sure that, you know, between JJ and I, like we are going to protect the rim at all costs and make sure that nothing is easy, because this is the Finals and everything is going to be tough and we're going to make everybody work for it."                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "We're looking at it from all these angles, partnerships, ranks of our employee base and certainly the coaching diversity and coaching, as well. So it is important to us. There's not a Board of Governors meeting that we don't talk about this. As you know, we've made enormous progress especially in the assistant coaching ranks with former WNBA players by essentially focusing on this over the last couple years. Made enormous progress, which is why our report card is really good."                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, BREANNA STEWART        , "Seven, nice. Hopefully we have more time."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, NYARA SABALLY          , "Yeah, I mean, it's really just the -- thinking in German, sorry."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, AJ JOHNSON             , "No, a hundred percent. I'm super proud of myself just sticking through that Australian season, knowing things were not going my way but continue to believe in myself every single day, and keep taking steps and getting better and looking at the bigger picture of my career. I feel like it's a great experience of being out there."                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, JAYSON TATUM           , "Absolutely. And I think the league is in a great place right now, the amount of high-character guys, the amount of talent throughout the NBA. The fact that LeBron and KD and Steph are still considered one of the best 10 players in the league right now at their age and how long they've been playing is incredible."                                                                                                                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "I don't know if I felt it. Maybe I did feel it a couple times. I don't know that I felt I had to lift and put Milwaukee on the map. I was just playing hard, doing what I love, being consistent with it, staying humble through the whole journey. I always wanted to get better."                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 16-Oct, SABRINA IONESCU        , "And obviously like we don't win this game without Stewie. What she was able to do, just continued to chip away. Obviously she'll speak, but I mean, yeah, there's nothing I could say. Like that shot's nice but that doesn't go against what she's been able to do for us tonight and how she was able to just will us back into that game."                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CATHY ENGELBERT        , "I think we do have standards, by the way, across the board for facilities, practice facilities and things like that. The owners now know that there's an edge to showing a player investment in the things like facilities, et cetera, especially practice facilities."                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, MATAS BUZELIS          , "How do I feel it improved my game? Being around NBA coaches, veterans, just being in the NBA atmosphere, playing NBA rules and all that."                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, AJ JOHNSON             , "Like I said before, it's just really truly a blessing to have players that you're really close with that are at the level that you want to be at and are doing the things that you want to do on the court. Just to have them to pick their brains and receive advice that they are giving me, I feel like it's truly a blessing."                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, JACY SHELDON           , "Yeah, I was there for a minute and I got to experience Buckeye Nation and just staying in Ohio, which was amazing. I think just the way we represented that university and the way they're going to continue to, it's an honor to put on that jersey every day, it's an honor to play in front of Buckeye Nation every night. I just hope that we left a legacy of hard work going out there every night and giving it our all."                                                                                                                                                                                 ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , """I can't believe I just did this."" I mean, getting into the NBA, being drafted, shaking Adam Silver's hand and finally playing in my first game. Obviously, there was a lot of time in between that, but those two moments were huge for me."                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, DALTON KNECHT          , "It feels great, to play with one of the greats to ever touch a basketball. It's going to be exciting to go put on a show for L.A."                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, JONQUEL JONES          , "It really just means a lot to be able to win with her and to watch the way that she approaches the game every day. The way that she leads our team, because she is our leader and we look to her in tough moments. So it just really means a lot to have everything come together and to be able to win together."                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "I think that's the way to add these roster spots for purposes of the game, as we've looked at the data. But we continue to monitor that for sure and talk with our players quite frankly about it, as well."                                                                                                                                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , "I mean, it's got to be MJ, I guess. I mean, he was the best."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, TYRESE HALIBURTON      , "I think I've handled it pretty well, but just as professional athletes in general -- microphone interruption. My bad. I don't know what's going on up here."                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, STEPHEN CURRY          , You don't ever want to lose that joy no matter how deep you get into your career and the expectations that come with the success that you have and the standards you set. Things are going to get tougher when you try to win at the highest level. Embracing that while still playing with joy is always the challenge.                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, KEVIN DURANT           , "Me and Kawhi was in awe of them shooting from the three-point line like it was a free throw. That's strength, power, muscle memory. That's someone who works extremely hard every day on their craft to be able to do that without flinching. It was just normal and natural motion."                                                                                                                                                                                                                                                                                                                            ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , I'd say my post fade. I added it to my game a while back. I've had it in my game. It's a good shot for me. I feel like I should just get to it more.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, GIANNIS ANTETOKOUNMPO  , "My philosophy is kind of drive them off the three. I think that's what we've been doing the last couple of years. Try to make them shoot a tough two. No layups. Protect the paint. We have a great Defensive Player of the Year candidate, Brook Lopez, on our team. Send as many people as you can to the paint. No easy layups. Whenever a guy is at the three-point line wide open, you've got to fly out to him and make him put the ball on the floor. If he's going to take a dribble, dribble, dribble three, the chance of that going in is better."                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "Elite players play no matter the environment, home, road. Elite players play and they love the environment and they are not affected by the environment. That's why you see the series has been what it has, winning on each other's court."                                                                                                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "As I said, I don't watch a lot of basketball. I haven't watched him play a lot of the year, but obviously when we are in the bus or in the plane, you have guys going, oh, wow, that's crazy. Then it kind of draws your attention. It's like what happened? You want to know because I'm nosey, I want to know."                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "For sure, for sure. I think as a league, we're kind of getting it, and our TV partner being a partner in the best of ways at this time. All of it. All of the investments."                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, ALISSA PILI            , "Definitely the community in Salt Lake City. I think it's really grown on me the last two years I was there, and I'm going to miss it a lot because even though I came from another Pac-12 school, they still took me with open arms and just supported me throughout everything."                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , "I don't really know him too well, but he seems like a pretty smart guy who understands who he is. He's the number one pick, so they're counting on him to turn around the franchise, and I think he understands that. I think he understands the pressure that comes with it."                                                                                                                                                                                                                                                                                                                                   ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, JAYSON TATUM           , "Would I love to win? Yes. But apparently us losing the Finals two years ago affects what people think of me now, so I guess I've got some ground to make up. Everybody who has a vote, they vote -- the criteria is different. Everybody thinks differently. Right, wrong, or indifferent, it is what it is. You can't tell people what they should look for when they vote. That's the beauty of it."                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, SANDY BRONDELLO        , So I kind of prepared Nyara in that regard and I'm very thankful that it worked well for us.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, JARED McCAIN           , I'm just excited to embrace the challenge and embrace the process and have fun with it. It's a blessing to even be here.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, SANDY BRONDELLO        , "Yeah, look, I think they were throwing different coverages at her, with the switching and she was trying to go probably a little bit too much one-on-one early. We've just got to move the ball and trust that the ball will come back to her in that regard and exploit it."                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , No specific comment on that specific city other than it's certainly on the list. I think it's a great basketball city. We'll continue to discuss it with ownership groups there that are interested in committing long term to the W.                                                                                                                                                                                                                                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, VICTOR WEMBANYAMA      , "I don't know. I'm probably going to keep that secret because I want to beat those guys in the season. Yeah, I'm going to keep that secret."                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, ISAIAH COLLIER         , "I'm looking forward to playing with everybody, to be honest. I've heard a lot of great things about Utah. I'm just looking forward to learning a lot about it and living there."                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, KARL-ANTHONY TOWNS     , "Just my teammates getting me the ball. Especially when you're a big, you never know what's going to happen. For my teammates to trust me and want to give me the ball was just an honor and a blessing."                                                                                                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, BONES HYLAND           , "Of course, yeah. I always set my goals for myself, and I knew I would be here. I'm just checking things off my checkbox. So it's been good for me."                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, SANDY BRONDELLO        , "Yeah, look, I think they took us out of what we wanted to run. They were really aggressive. They were blowing up stuff. We couldn't get clear passes. We tried to go downhill and they would stunt and get back, and we just got a little bit stagnant. Then we had obviously -- I thought we were slow. We were up so you're trying to move the ball, but then we are slow in our speed, execution speed, and then it was making it easy for them."                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, NAPHESSA COLLIER       , "I think we're excited. I don't even know if I'm thinking about that. I'm thinking that it's a Game 5 of the Finals, that we need to go out and execute. That's really all I'm thinking about."                                                                                                                                                                                                                                                                                                                                                                                                                   ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, BONES HYLAND           , I don't know. Enjoy my time off.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , "It was only a matter of time before we figured out how to make that equate into wins. I'm just thankful to be out here with the group of guys that we've got, trying to win games. We've all bought into the winning mindset and doing what it takes to win. So far, it's been showing."                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, NAPHEESA COLLIER       , "Just every game, I try to go out and impact defensively. Especially when they are going on a run like that, they have amazing offensive players, and so trying to be as disruptive as I can."                                                                                                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, NYARA SABALLY          , "I don't know if they are bragging rights. It's for my whole family, basically, specifically Satou. She's been with me every step of the way and has been in my corner through my ups and downs, and I've had a lot of downs in my career. This ring is for her as much as it is for me."                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CELESTE TAYLOR         , "Yeah, obviously very, very big defensive-minded kid, but at the same time, I'm willing to do whatever it is that a team needs me to do. I'm willing to come in there and impact. I'm really big on community. So just getting my hand in the community and continuing to be who I am and continuing to make an impact in every stop that I've had."                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "So those are the types of things, but we have a variety of other things. You might have seen some that were at the NBA All-Star Game, how we stood up activations there, and Sabrina-Steph in the three-point competition obviously was a highlight of that weekend. Just continuing to have our player marketing agreement players that we're paying in the offseason to market on behalf of the W. We've got Aliyah Boston here today doing a lot of -- she obviously did an amazing job, I thought, on broadcast during the NCAA Tournament, as well."                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, MARQUESHA DAVIS        , "I would say that makes it a little bit easier. Just coming in and having a certain role and knowing what's expected of you and knowing that you don't have to be the superhero or anything like that. So I would say that that would definitely make it a lot better or -- well, yeah, coming in, learning from those vets."                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, CHET HOLMGREN          , "Laughter. Probably like Embiid or somebody, just because he's huge."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, DaRON HOLMES II        , "It was pretty cool. Great to see those players and a lot of great talent in there. I'm just happy to be where I'm at. Perfect fit. I'm very excited. I was excited the whole time. A little nervous. Great to see all my boys there watching me, but it's just great to be here."                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, ALEX SARR              , "Yeah, it helped a lot. My dad, he always loved basketball and he looked at basketball -- he never was happy after one of my games. He always had something to say for me to improve on it. I think that's what made me and my brother good players. I can't thank them enough for this."                                                                                                                                                                                                                                                                                                                         ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SANDY BRONDELLO        , Okay. Kelly is coming.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, SHAI GILGEOUS-ALEXANDER, "It was fun. I've said so many times you dream about it as a kid. When you get here, you think you're ready for it, but you're not."                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, TYRESE HALIBURTON      , "I'm trying to think. What comes to mind? Have you ever seen that commercial where the dude goes to the ref and says like, Coach, I touched this, their ball, and then the ref switches the call? Terrible. I don't know what brand that was, but that was awful."                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, SANDY BRONDELLO        , No practice.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, BREANNA STEWART        , "In the playoffs, in a series, there's going to be momentum shifts. There were momentum shifts in the game tonight. But mentally, understanding what's our ultimate goal, how are things going right here. Like Sandy said in the locker room, we haven't won anything yet we haven't lost anything yet. And we have the opportunity to do that Sunday."                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, KEVIN DURANT           , "Just being around the greats. Even if it's a couple minutes, you can soak up some type of knowledge from these guys. You just get so much energy seeing other greats, other Hall of Famers, all the other champions in the building with you. So to be in that atmosphere with them is probably the best part."                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, BREANNA STEWART        , "Absolutely. I think that the first thing was higher pick-up points, knowing that if Leo was going to be up, really trying to limit Courtney Williams, then I need to be there, too. So when Phee is dribbling up it's without any pressure."                                                                                                                                                                                                                                                                                                                                                                     ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 10-Oct, CHERYL REEVE           , "I'm just happy she made a clutch free throw, if you go and look --"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 20-Oct, BREANNA STEWART        , Can I say something? Thank you.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, ALISSA PILI            , "Yeah, I think they'll just get somebody who's a competitor and somebody who has a unique style of play and is just fun to watch."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LeBRON JAMES           , "I've been asked about Victor before, and I just think he's going to continue to get better and better and better and better the more games he plays. He has one of the greatest coaches in basketball history in Coach Pop, and he's going to learn it the right way by just being around Pop. Pop is one of my favorite guys."                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, BREANNA STEWART        , "I think that, you know, for our team, we bounce back after a loss really, really well, and making sure that everybody is on the same page going forward."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, STEPHEN CURRY          , "It's a great visual to see. It's a great comparison of body movement, ball movement, between the two sports. It's all about just flow and rhythm and chemistry. We've had a certain style that we've mastered that has evolved over the ten years he's been coaching. Yeah, it was a concerted effort to get us to play a certain way that would help us win. Obviously we've been able to do that."                                                                                                                                                                                                             ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DAMIAN LILLARD         , "Usually our preparation to get ready to compete, it looks a lot different than it looks when we come here. This weekend was a lot better than the past, but I think when the game is any type of loose, if it's not a game where you've got a scouting report and you're locked in and a lot is on the line, then guys who are too talented, are going to make a lot of threes. That's the kind of game it's going to be."                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 13-Oct, SANDY BRONDELLO        , "Geno. Vivian, has been here for B. It's great."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, TYRESE HALIBURTON      , "I think the reason I've had success leading my franchise is the people around me and the trust that's put in me, it's a big responsibility for me, and I'm completely understanding of that. Yeah, just trying to do a good job with it."                                                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, PAOLO BANCHERO         , "I didn't really realize what I did in the moment. But after the game, I just saw a clip and realized really what I did. It was crazy."                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA DRAFT                         , 15-Apr, CATHY ENGELBERT        , "We'll continue to monitor the situation there, but our players won't run away from it. They'll want to help change and effect change, and we'll use our platform and their platform to do just that."                                                                                                                                                                                                                                                                                                                                                                                                            ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, DAMIAN LILLARD         , "I thought it was enough moments to be excited about and enjoy watching. But it was probably too much leak-out, go get a dunk, go get a layup type of moments. If we could limit those, people wouldn't feel the way they feel sometimes about it, if we could just try to limit it. It's going to happen sometimes, but it probably can't happen as much."                                                                                                                                                                                                                                                       ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, TRISTAN DA SILVA       , "I talked with him earlier today, or tonight. I'm super excited, just learning from one of the great coaches. I feel like there's a lot that I can expand my game in, and I can't wait to learn even more. I feel like talking basketball and talking basketball IQ is one of my passions, as well, in the game. I'm just super excited to soak up all that knowledge and kind of grow."                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, DONOVAN CLINGAN        , It's a great feeling. You dream of this moment your whole life. You watch it on TV every single year. To have that moment here in front of you today and to hear my name called is something that I'll remember for the rest of my life.                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, TYRESE HALIBURTON      , "It means the world. It means the world. I think the respect that I've gained from my peers and legends means the world to me. Just to keep meeting people where I'm from, that's not really a thing. There's no chance that they even know where Oshkosh, Wisconsin, is."                                                                                                                                                                                                                                                                                                                                        ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "So, yeah, be a hard worker, don't give up, believe in yourself."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, SHAI GILGEOUS-ALEXANDER, "I think that over time we've seen his -- not only his development, but we've seen kind of his schemes and his work coming to life and really lead this pack and steer us in the right way. We all have his respect and appreciate him."                                                                                                                                                                                                                                                                                                                                                                          ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR RISING STARS PRACTICE , 16-Feb, VICTOR WEMBANYAMA      , "To me he's kind of like a mutant. He was ahead of his time and just so different from -- he made the game so different from what it was. This is someone I'd like to -- I mean, I would like to look like him sometimes because he was so special."                                                                                                                                                                                                                                                                                                                                                              ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, JA'KOBE WALTER         , "I've never been to Toronto. I've never even been to Canada. But I know that it's a nice city in Canada, and all I really know is the building."                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, CHERYL REEVE           , "That's unfortunate. You know, I guess I don't really have much more than that."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA DRAFT                          , 26-Jun, PACOME DADIET          , "Obviously, I talked to the people over there. I got to learn more about the team."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, GIANNIS ANTETOKOUNMPO  , "Hopefully, if we get there, it will be fun. But at the end of the day, you've got to get there first. We have a lot of work to do, and it's very far down the road to even think about that."                                                                                                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - ALL-STAR GAME                      , 18-Feb, LEBRON JAMES           , "Being here. You still get that moment where I'm in the locker room looking at Steph, AD, KD, Kawhi, Joker, Luka all those guys. Those are just a few of the names. Those are the guys in the West. So you still have that feeling like, this is pretty cool."                                                                                                                                                                                                                                                                                                                                                    ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, SHAI GILGEOUS-ALEXANDER, "I have no clue. I think that's your guys' job to decide and figure out. But it will be an amazing league regardless. Obviously, he's done amazing things for this league and for the game of basketball. You don't want to take him for granted, obviously. But when he's gone, yeah, it will still be great."                                                                                                                                                                                                                                                                                                   ,                      ,                  ,                      ,                  ,                      , 
2024 - WNBA FINALS: MINNESOTA VS. NEW YORK, 18-Oct, BREANNA STEWART        , "Yeah, of course. We wanted to get it done tonight. But like Sandy said, our fans are like no other, and to be able to go into our environment on Sunday, know they have our backs. So whenever there are tough situations, whenever we're fighting through all of this adversity, we know we have the crowd behind us. That's just going to continue to motivate us. Yeah, can't wait for Sunday."                                                                                                                                                                                                               ,                      ,                  ,                      ,                  ,                      , 
2024 - NBA ALL-STAR MEDIA DAY             , 17-Feb, TYRESE HALIBURTON      , "I think, as a kid who grew up in the 2000s, I always wanted to play for Team USA after watching the Redeem Team with LeBron and those guys. And watching D-Wade's doc for them on Netflix, and I was at the premiere with D-Wade. It would mean a lot moving forward."                                                                                                                                                                                                                                                                                                                                           ,                      ,                  ,                      ,                  ,                      , 
